a	một
ability	có khả năng
able	có thể
about	trong khoảng
above	ở trên
accept	Chấp nhận
according	theo
account	tài khoản
across	băng qua
act	hành động
action	hoạt động
activity	Hoạt động
actually	thực ra
add	thêm vào
address	địa chỉ nhà
administration	quản trị
admit	thừa nhận
adult	người lớn
affect	có ảnh hưởng đến
after	sau
again	lần nữa
against	chống lại
age	tuổi tác
agency	đại lý
agent	đặc vụ
ago	trước đây
agree	đồng ý
agreement	thỏa thuận
ahead	phía trước
air	không khí
all	tất cả các
allow	cho phép
almost	hầu hết
alone	một mình
along	dọc theo
already	đã
also	cũng thế
although	mặc dầu
always	luôn luôn
American	Người Mỹ
among	trong số
amount	số tiền
analysis	phân tích
and	và
animal	thú vật
another	khác
answer	câu trả lời
any	bất kì
anyone	bất kỳ ai
anything	bất cứ điều gì
appear	xuất hiện
apply	ứng dụng
approach	tiếp cận
area	khu vực
argue	tranh luận
arm	cánh tay
around	xung quanh
arrive	đến
art	nghệ thuật
article	bài báo
artist	nghệ sĩ
as	như
ask	hỏi
assume	giả định
at	tại
attack	tấn công
attention	chú ý
attorney	luật sư
audience	thính giả
author	tác giả
authority	thẩm quyền
available	có sẵn
avoid	tránh
away	xa
baby	đứa bé
back	trở lại
bad	xấu
bag	túi
ball	trái bóng
bank	ngân hàng
bar	quán ba
base	căn cứ
be	được
beat	tiết tấu
beautiful	đẹp
because	bởi vì
become	trở nên
bed	Giường
before	trước
begin	bắt đầu
behavior	hành vi
behind	phía sau
believe	tin
benefit	lợi ích
best	tốt
better	tốt hơn
between	giữa
beyond	vượt ra ngoài
big	to
bill	hóa đơn
billion	tỷ
bit	bit
black	đen
blood	máu
blue	màu xanh da trời
board	bảng
body	thân hình
book	sách
born	sinh ra
both	cả hai
box	cái hộp
boy	con trai
break	phá vỡ
bring	mang đến
brother	em trai
budget	ngân sách
build	xây dựng
building	Tòa nhà
business	kinh doanh
but	nhưng
buy	mua
by	bởi
call	gọi điện
camera	Máy ảnh
campaign	chiến dịch
can	có thể
cancer	ung thư
candidate	ứng cử viên
capital	thủ đô
car	xe hơi
card	Thẻ
care	quan tâm
career	nghề nghiệp
carry	mang
case	trường hợp
catch	bắt lấy
cause	nguyên nhân
cell	tế bào
center	trung tâm
central	Trung tâm
century	thế kỷ
certain	chắc chắn
certainly	chắc chắn
chair	cái ghế
challenge	thử thách
chance	cơ hội
change	thay đổi
character	tính cách
charge	sạc điện
check	kiểm tra
child	đứa trẻ
choice	sự lựa chọn
choose	chọn
church	nhà thờ
citizen	công dân
city	thành phố
civil	dân sự
claim	yêu cầu
class	lớp học
clear	thông thoáng
clearly	thông suốt
close	gần
coach	huấn luyện viên
cold	lạnh
collection	bộ sưu tập
college	trường đại học
color	màu
come	đến
commercial	thương mại
common	chung
community	cộng đồng
company	Công ty
compare	so sánh
computer	máy vi tính
concern	mối quan ngại
condition	điều kiện
conference	hội nghị
Congress	Hội nghị
consider	xem xét
consumer	khách hàng
contain	chứa
continue	tiếp tục
control	điều khiển
cost	Giá cả
could	có thể
country	Quốc gia
couple	cặp đôi
course	khóa học
court	tòa án
cover	che
create	tạo nên
crime	tội ác
cultural	văn hóa
culture	văn hóa
cup	cái chén
current	hiện hành
customer	khách hàng
cut	cắt tỉa
dark	tối
data	dữ liệu
daughter	Con gái
day	ngày
dead	đã chết
deal	thỏa thuận
death	tử vong
debate	tranh luận
decade	thập kỷ
decide	quyết định
decision	phán quyết
deep	sâu
defense	phòng thủ
degree	trình độ
Democrat	Dân chủ
democratic	dân chủ
describe	miêu tả
